ID_REGULASI,REGULATOR,JUDUL,TANGGAL_REGULASI_EFEKTIF,LINK_REGULASI,TIMESTAMP,NO_KETENTUAN,TENTANG,NOTIFICATION_STATUS,TANGGAL_TERBIT,LINK_RANCANGAN,DESKRIPSI
46,LPS,Surat Edaran Nomor SE-2/ADK1/2024 Tentang Pengelolaan Arsip Bank Dalam Likuidasi Pada pelaksanaan Likuidasi Bank,02 Apr 2024,https://lps.go.id/se-2-adk1-2024/,2024-04-02 10:36:29.509849,Surat Edaran Nomor SE-2/ADK1/2024,Pengelolaan Arsip Bank Dalam Likuidasi Pada pelaksanaan Likuidasi Bank,NOT SENT,,,
47,LPS,Surat Edaran Nomor SE-1/ADK1/2024 Tentang Pedoman Pelaksanaan Likuidasi Bank Bagi Tim Likuidasi,13 Feb 2024,https://lps.go.id/se-1-adk1-2024/,2024-02-13 10:36:29.509849,Surat Edaran Nomor SE-1/ADK1/2024,Pedoman Pelaksanaan Likuidasi Bank Bagi Tim Likuidasi,NOT SENT,,,
48,LPS,Surat Edaran Nomor SE-1/KE/2023 Tentang Pedoman Pemeriksaan Atas Kualitas Data dan Keandalan Sistem Pengolahan Data Single Customer View Bagi Audit Internal Bank dan Pihak Independen yang Ditunjuk Bank,18 Jan 2023,https://lps.go.id/se-1-ke-2023/,2023-01-18 10:36:29.509849,Surat Edaran Nomor SE-1/KE/2023,Pedoman Pemeriksaan Atas Kualitas Data dan Keandalan Sistem Pengolahan Data Single Customer View Bagi Audit Internal Bank dan Pihak Independen yang Ditunjuk Bank,NOT SENT,,,
49,LPS,Surat Edaran Nomor SE-2/KE/2022 Tentang Penyesuaian Pengenaan Sanksi Denda Keterlambatan Pembayaran Premi Penjaminan Tahun 2023,29 Des 2022,https://lps.go.id/se-2-ke-2022/,2022-12-29 10:36:29.509849,Surat Edaran Nomor SE-2/KE/2022,Penyesuaian Pengenaan Sanksi Denda Keterlambatan Pembayaran Premi Penjaminan Tahun 2023,NOT SENT,,,
50,LPS,Surat Edaran Nomor SE-1/KE/2022 Tentang Tata Cara Pembayaran Premi Penjaminan,01 Des 2022,https://lps.go.id/se-1-ke-2022/,2022-12-01 10:36:29.509849,Surat Edaran Nomor SE-1/KE/2022,Tata Cara Pembayaran Premi Penjaminan,NOT SENT,,,
51,LPS,Surat Edaran Nomor SE-3/KE/2021 Tentang Pedoman dan Format Penyusunan Rencana Resolusi Bagi Bank Umum,21 Okt 2021,https://lps.go.id/se-3-ke-2021/,2021-10-21 10:36:29.509849,Surat Edaran Nomor SE-3/KE/2021,Pedoman dan Format Penyusunan Rencana Resolusi Bagi Bank Umum,NOT SENT,,,
52,LPS,Surat Edaran Nomor SE-2/DKEU/2021 Tentang Tata Cara Pembayaran Premi Penjaminan,30 Jun 2021,https://lps.go.id/surat-edaran-nomor-se-2-dkeu-2021-tentang-tata-cara-pembayaran-premi-penjaminan/,2021-06-30 10:36:29.509849,Surat Edaran Nomor SE-2/DKEU/2021,Tata Cara Pembayaran Premi Penjaminan,NOT SENT,,,
53,LPS,Surat Edaran Nomor SE-1/DKEU/2021 Tentang Format dan Panduan Tata Cara Perhitungan Premi,30 Jun 2021,https://lps.go.id/se-1-dkeu-2021/,2021-06-30 10:36:29.509849,Surat Edaran Nomor SE-1/DKEU/2021,Format dan Panduan Tata Cara Perhitungan Premi,NOT SENT,,,
54,LPS,Surat Edaran Nomor SE-1/DKRB/2021 Tentang Penyesuaian Kewajiban Penyampaian Laporan Data Penjaminan Simpanan Berbasis Nasabah Bank Umum,22 Jan 2021,https://lps.go.id/se-1-dkrb-2021/,2021-01-22 10:36:29.509849,Surat Edaran Nomor SE-1/DKRB/2021,Penyesuaian Kewajiban Penyampaian Laporan Data Penjaminan Simpanan Berbasis Nasabah Bank Umum,NOT SENT,,,
55,LPS,"Surat Edaran Nomor SE-3/ADK1/2024 Tentang Pedoman dan Format Penyusunan Serta Tata Cara Penyampaian, Perbaikan, dan Pemutakhiran Rencana Resolusi Bagi Bank Umum",01 Nov 2024,https://lps.go.id/se-3-adk1-2024/,2024-11-08 11:00:14.707439,Surat Edaran Nomor SE-3/ADK1/2024,"Pedoman dan Format Penyusunan Serta Tata Cara Penyampaian, Perbaikan, dan Pemutakhiran Rencana Resolusi Bagi Bank Umum",SENT,,,
